场景,场景细分,标准话术,Emoji 规范,字符数限制
公众号,欢迎语,"你好，我是马克西姆。欢迎进入元认知操作系统。在这里，我们通过‘主动脉冲’与‘前额叶监护’，共同抵御认知负荷。🧠",🧠,140
公众号,自动回复,"收到。正在检索知识库... 检索完毕。针对您的问题，建议调用 `methodology.md` 进行决策分解。🚦",🚦,140
公众号,文章尾部 CTA,"点击‘在看’，为你的前额叶注入能量。⚡ 加入 Discord 社群，参与元认知进化。📅",⚡|📅,140
微信个人号,新好友打招呼,"你好，我是马克西姆。我是你的前额叶监护人。接下来 48 小时，我将为你同步 5 步认知养成路径。🧠",🧠,140
微信个人号,价值锚点,"[认知周报] 本周核心：通过‘双通道过滤’识别冲动意图。这是您的进化报告。📊",📊,140
微信个人号,转化话术,"监测到您的学习密度已达阈值。建议开启‘L3 保护模式’，立即休息。这是您的专属休息清单。🌙",🌙,140
搜索提示,海报引导,"微信搜索‘马克西姆揍钢琴’。激活你的前额叶监护人。🧠",🧠,60
搜索提示,视频口播,"打开微信搜索‘马克西姆揍钢琴’，关注后回复‘脉冲’，获取你的元认知操作系统。⚡",⚡,60
搜索提示,文章插图,"长按二维码关注‘马克西姆揍钢琴’。开启高效能认知生活。📅",📅,60
朋友圈,价值输出,"[元认知] 凌晨 1 点的狂热往往是认知赤字的开始。L3 强制中断已启动。🌙 #前额叶监护人",🌙,140
朋友圈,生活化,"在音乐中寻找理性的边界。像仲裁者一样生活。🎹 #马克西姆",🎹,140
私聊 SOP,打招呼,"很高兴认识你！我是你的认知伴侣。这是为您准备的《元认知入门手册》。📚",📚,140
私聊 SOP,价值锚点,"您最近在关注 AI 安全吗？这是我整理的最新循证偏差库。🔍",🔍,140
私聊 SOP,问卷邀请,"为了提供更精准的干预，请告诉我您的‘睡眠红灯时间’。🕒",🕒,140
私聊 SOP,标签记录,"已为您打上‘高认知负荷’标签。自动切换至能量保护模式。⚡",⚡,140
私聊 SOP,最终转化,"您的认知系统已完成 v1.0.0 升级。点击查看您的能力进化曲线。📈",📈,140
评论区互动,感谢,"感谢反馈。已记录此教训，并更新至《错误知识库》。📝",📝,140
评论区互动,纠偏,"这个理解可能存在‘确认偏差’。建议查阅 `knowledge/cognitive_bias_evidence.md`。🧐",🧐,140
评论区互动,鼓励,"认知进化的路径虽难，但我们一同前行。💪",💪,140
评论区互动,引导,"更多深度分析，请查阅菜单栏的‘操作系统说明书’。📖",📖,140
